,title,distributor,id,rating score
369,Cowboy,Columbia Pictures,tt0051496,75%
370,Courageous Love,Crystal Creek Media,tt3980372,no_data
371,Cosmos,no_data,tt0118889,no_data
372,Corsair,United Artists Corporation,tt0021764,no_data
373,Corporate,Sahara One,tt0488381,no_data
374,Coolie No. 1,Amazon Prime Video,tt10280276,no_data
375,Convention Girl,no_data,tt0026232,no_data
376,Coming Out,DEFA,tt0097095,no_data
377,Come and Get It,United Artists Corporation,tt0027459,7.5/10
378,Coherence,Hulu,tt2866360,7.3/10
379,Cloudburst,Sidney Kimmel Entertainment,tt1466054,100%
380,Clan of the White Lotus,Shaw Brothers Studio,tt0080905,no_data
381,Citizen K,no_data,tt10703826,7.7/10
382,Cider with Rosie,no_data,tt0169685,no_data
383,Christmas Coupon,no_data,tt10165624,no_data
384,Choricha Mamla,no_data,tt11457262,no_data
385,Chocolate City,no_data,tt3481000,4.4/10
386,Chitralahari,no_data,tt9165332,no_data
387,Children of the Corn,no_data,tt12311866,no_data
388,Chicken People,CMT,tt4819510,100%
389,Chick Fight,no_data,tt10944486,5/10
390,Chhalaang,Amazon Prime Video,tt8983164,5.8/10
391,Cheers of the Crowd,no_data,tt0026203,no_data
392,Chasers,Warner Bros.,tt0109403,4.1/10
393,Catch-22,Paramount Pictures,tt0065528,7.2/10
394,Catch Hell,Entertainment One,tt2403558,0%
395,Casey's Shadow,Columbia Pictures,tt0077303,78%
396,Caryl of the Mountains,Reliable Pictures,tt0027425,no_data
397,Carriers,Paramount Vantage,tt0806203,5.8/10
398,Captured in Chinatown,no_data,tt0026177,no_data
399,Captain Scarlett,United Artists Corporation,tt0045605,no_data
400,Captain Calamity,Grand National Films Inc.,tt0027420,no_data
401,Candy,Cinerama Releasing Corporation,tt0062776,6/10
402,Cafe Society,Paramount Pictures,tt0031129,no_data
403,Cabin 28,no_data,tt5457484,no_data
404,C U Soon,Amazon Prime Video,no_data,no_data
405,Bulldog Drummond,United Artists Corporation,tt0019735,no_data
406,Buckskin Frontier,United Artists Corporation,tt0035700,no_data
407,Broken Dreams,Monogram Pictures,tt0023849,no_data
408,Britt-Marie Was Here,Cirko Film,tt8103160,6.4/10
409,Brigham City,no_data,tt0268200,71%
410,Brick Lane,StudioCanal UK,tt0940585,6.2/10
411,Breathing Fire,no_data,tt0101509,no_data
412,Breaking & Exiting,no_data,tt6285672,0%
413,Bravetown,Entertainment One,tt2950052,4.3/10
414,Branded a Coward,no_data,tt0026133,no_data
415,Brad's Status,no_data,tt5884230,6.8/10
416,Boys' Reformatory,Monogram Pictures,tt0031119,no_data
417,Boynton Beach Club,Roadside Attractions,tt0439478,5.9/10
418,Boy of the Streets,no_data,tt0029941,no_data
419,Bowery at Midnight,Monogram Pictures,tt0034546,no_data
420,Boss,Netflix,tt2571140,3.9/10
421,Bornoporichoy,no_data,tt10651188,no_data
422,Boonie Bears: Blast Into the Past,no_data,tt10250750,no_data
423,Blue Thunder,Vudu,tt0085255,78%
424,Blue Steel,Monogram Pictures,tt0024902,no_data
425,Blue Hawaii,Paramount Pictures,tt0054692,29%
426,Blood into Wine,no_data,tt1394383,71%
427,Blood and Lace,American International Pictures,tt0066848,no_data
428,Blonde Comet,Producers Releasing Corporation,tt0033399,no_data
429,Blackout,Capitol Films,tt0844666,no_data
430,Blackmail,Metro-Goldwyn-Mayer,tt0031102,no_data
431,Black Widow,20th Century Studios,tt0090738,50%
432,Black Water,Netflix,tt0816436,5.9/10
433,Black Robe,The Samuel Goldwyn Company,tt0101465,6.8/10
434,Black November,Entertainment One,tt2147225,3.5/10
435,Black Jesus,Netflix,tt0063576,no_data
436,Birdy,TriStar Pictures,tt0086969,83%
437,Billionaire Boys Club,Hulu,tt5179598,3.5/10
438,Bigil,no_data,tt9260636,no_data
439,Big Sur,Netflix,tt1462411,4.5/10
