title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Vince and Kath and James,Theodore Boborol,male,Star Cinema,tt6271264,,Vince & Kath & James,2016-12-25,Theodore Boborol,"Joshua Garcia, Julia Barretto, Ronnie Alonte",Philippines,"Filipino, Tagalog",,6.8,377.0,,,"$15,388",,"Awards, 3 wins & 21 nominations"
Alexis Viera: A Story of Surviving,Luis Ara,male,Netflix,tt10177712,,Alexis Viera: A Story of Surviving,2019-04-25,Luis Ara,,Uruguay,Spanish,,7.2,55.0,,$100 (estimated),,forgiveness,
Imago,Marie Vermillard,female,,tt0254324,,,,,,,,,,,,,,,
5 Flights Up,Richard Loncraine,male,Focus Features,tt2933544,5.4/10,5 Flights Up,2015-05-08,Richard Loncraine,"Diane Keaton, Morgan Freeman, Cynthia Nixon",USA,English,PG-13,6.2,10619.0,55.0,"$6,000,000 (estimated)","$3,679,847","real estate,new york,flat,husband wife relationship,veterinarian","Awards, 1 win"
Bombairiya,,,Netflix,tt4971258,,,,,,,,,,,,,,,
Girl,Chad Faust,male,Vertigo Média,tt8254556,83%,Girl,2019-03-15,Lukas Dhont,"Victor Polster, Arieh Worthalter, Oliver Bodart","Netherlands, Belgium","French, Flemish, English",R,7.1,14497.0,73.0,"€1,500,000 (estimated)","$4,178,992","gender identity,gender reassignment,gender transition,transgender,ballet","Awards, 32 wins & 40 nominations"
Jeff Dunham: Arguing with Myself,,,Comedy Central,tt0806102,,Jeff Dunham: Arguing with Myself,2006-04-11,Manny Rodriguez,Jeff Dunham,USA,English,Not Rated,8.0,4000.0,,,,"ventriloquist,tv special,stand up comedy,live audience,puppet",
Jeff Dunham: Controlled Chaos,,,Comedy Central,tt2058636,,Jeff Dunham: Controlled Chaos,2011-09-25,"Michael Simon, Matthew McNeil",Jeff Dunham,USA,English,Unrated,7.4,2304.0,,,,"stand up special,ventriloquist,puppet,tv special,live audience",
Jeff Dunham: Minding the Monsters,,,Comedy Central,tt2461736,,Jeff Dunham: Minding the Monsters,2012-10-09,"Manny Rodriguez, Matthew McNeil",Jeff Dunham,USA,English,TV-MA,7.0,1421.0,,,,"ventriloquist,stand up special,tv special,divorce,strong language",
Jeff Dunham's Very Special Christmas Special,,,Comedy Central,tt1295909,,Jeff Dunham's Very Special Christmas Special,2008-11-16,Michael Simon,"Jeff Dunham, Brian Haner",USA,English,Not Rated,7.4,3047.0,,,,"christmas,stand up special,christmas in title,holiday in title,stand up",
Late Life: The Chien-Ming Wang Story,Tommy Yu,male,Netflix,tt8234502,,Late Life: The Chien-Ming Wang Story,2018-12-14,Frank W Chen,"Chien-ming Wang, Neil Allen, Brian Cashman","USA, Taiwan","English, Mandarin",,7.2,484.0,,,,baseball,"Awards, 2 wins & 1 nomination"
A Love Story,Maryo J. de los Reyes,male,"ABS-CBN Film Productions, Star Cinema",tt0990433,,A Love Story,2007-08-15,Maryo J. de los Reyes,"Maricel Soriano, Aga Muhlach, Angelica Panganiban",Philippines,"Filipino, Tagalog",,6.4,143.0,,,"$3,121,563","heartbreak,doctor,water skiing,unconditional love,real estate","Awards, 9 wins & 20 nominations"
Barcelona: A Love Untold,Olivia Lamasan,female,Star Cinema,tt5755912,,Barcelona: A Love Untold,2016-09-14,Olivia M. Lamasan,"Kathryn Bernardo, Daniel Padilla, Aiko Melendez",Philippines,"Tagalog, Filipino, Spanish",TV-PG,6.6,771.0,,,"$238,540",,"Awards, 6 wins & 15 nominations"
Everything About Her,Joyce Bernal,female,Star Cinema,tt3860092,,Everything About Her,2016-01-29,Joyce Bernal,"Vilma Santos, Angel Locsin, Xian Lim",Philippines,"Filipino, Tagalog",TV-PG,7.2,336.0,,,"$3,176,352",love,"Awards, 4 wins & 16 nominations"
Finally Found Someone,Theodore Boborol,male,Star Cinema,tt7151438,,Finally Found Someone,2017-08-04,Theodore Boborol,"John Lloyd Cruz, Sarah Geronimo, Christian Bables",Philippines,"Tagalog, Filipino",,5.9,240.0,,,"$405,968",father,
Seven Sundays,Cathy Garcia-Molina,female,Star Cinema,tt7502214,,Seven Sundays,2017-10-27,Cathy Garcia-Molina,"Ronaldo Valdez, Aga Muhlach, Dingdong Dantes",Philippines,"Filipino, Tagalog",TV-PG,7.7,487.0,,,"$214,641",father,"Awards, 3 wins & 19 nominations"
Triple Frontier,J. C. Chandor,male,Netflix,tt1488606,6.3/10,Triple Frontier,2019-03-13,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam",USA,"English, Spanish, Portuguese",R,6.4,127354.0,61.0,"$115,000,000 (estimated)",,"greed,money,theft,boat,chase","Awards, 3 nominations"
Juanita,Pierre Caron,male,,tt0026552,,,,,,,,,,,,,,,
Nappily Ever After,Haifaa al-Mansour,female,Netflix,tt0365545,5.8/10,Nappily Ever After,2018-09-21,Haifaa Al-Mansour,"Sanaa Lathan, Ricky Whittle, Lyriq Bent",USA,English,TV-MA,6.4,9262.0,63.0,,,"based on novel,bald woman,shower sex,adult child friendship,head shaving","Awards, 1 win & 5 nominations"
Sisterakas,Wenn V. Deramas,male,"ABS-CBN Film Productions, Viva Films, Star Cinema",tt2590214,,Sisterakas,2012-12-31,Wenn V. Deramas,"AiAi Delas Alas, Vice Ganda, Kris Aquino",Philippines,"Filipino, Tagalog",,5.1,287.0,,,,"younger version of character,slapstick comedy,adultery,career woman,elevator","Awards, 1 win & 2 nominations"
Starting Over Again,Olivia Lamasan,female,Star Cinema,tt3528284,,Starting Over Again,2014-03-03,Olivia M. Lamasan,"Piolo Pascual, Toni Gonzaga, Iza Calzado",Philippines,"Filipino, Tagalog",,6.9,558.0,,,"$9,189,200",f rated,"Awards, 2 wins & 23 nominations"
That Thing Called Tadhana,Antoinette Jadaone,female,Star Cinema,tt4170436,,,,,,,,,,,,,,,
The Love Affair,Nuel Crisostomo Naval,,Star Cinema,tt4202506,,The Love Affair,2019-03-08,Nuel C. Naval,"Dawn Zulueta, Richard Gomez, Bea Alonzo",Philippines,"Filipino, Tagalog",,6.4,261.0,,,"$3,624,953","sailing,stepmother stepdaughter conflict,loss of son,jealous husband,sex in car","Awards, 2 wins & 28 nominations"
The Hard Way,John Badham,male,Netflix,tt9815714,,The Hard Way,2019-03-05,Keoni Waxman,"Michael Jai White, Luke Goss, Randy Couture",USA,English,Not Rated,4.8,3308.0,,"$3,500,000 (estimated)",,"soldier,low budget",
Everyday I Love You,Mae Czarina Cruz-Alviar,female,Star Cinema,tt4944460,,Everyday I Love You,2015-11-06,Mae Czarina Cruz,"Enrique Gil, Liza Soberano, Gerald Anderson",Philippines,"Filipino, Tagalog, English",,7.0,498.0,,,"$2,212,624",journey,"Awards, 2 nominations"
No Other Woman,Lou Tellegen,male,Fox Film Corporation,tt0019214,,,,,,,,,,,,,,,
River's Edge,Tim Hunter,male,Netflix,tt0091860,7.3/10,,,,,,,,,,,,,,
Sarkar,Ram Gopal Varma,male,K. Sera Sera,tt0432047,,,,,,,,,,,,,,,
"2,215",,,GDH 559,tt8891536,,"2,215",2018-09-06,Nottapon Boonprakob,"Artiwara Kongmalai, Samitada Sungkapo",Thailand,Thai,,7.7,304.0,,,,,
Budapest,Walter Carvalho,male,Netflix,tt7027092,,Budapest,2019-03-01,Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe","France, Belgium","Hungarian, French, English",TV-MA,5.4,3001.0,,,"$1,654,611","budapest hungary,husband wife relationship,gun shooting,party planning,business partners",
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,male,Netflix,tt7533152,7.3/10,The Boy Who Harnessed the Wind,2019-03-01,Chiwetel Ejiofor,"Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo","UK, Malawi","Arabic, Nyanja, English",TV-PG,7.6,38092.0,68.0,,,"malawi,famine,rain,windmill,irrigation","Awards, 4 wins & 6 nominations"
The Last Runway,,,Netflix,tt7606620,,The Last Runway,2018-08-02,"Rodrigo Salomón, Pietro Scappini","Luis Aguirre, Fini Bocchino, Bruno Sosa Bofinger","Paraguay, Argentina",Spanish,TV-MA,5.9,737.0,,,"$405,016","paraguay,drug traffic,cartel,paramilitary",
The Spiderwick Chronicles,Mark Waters,male,Netflix,tt0416236,6.7/10,The Spiderwick Chronicles,2008-02-14,Mark Waters,"Freddie Highmore, Sarah Bolger, David Strathairn",USA,English,PG,6.5,95840.0,62.0,"$90,000,000 (estimated)","$164,170,327","gryphon,competition,boy,dancing,father figure","Awards, 2 wins & 8 nominations"
Quién te cantará,Carlos Vermut,male,Netflix,tt6485304,85%,Quién te cantará,2018-10-24,Carlos Vermut,"Najwa Nimri, Eva Llorach, Carme Elias","Spain, France",Spanish,,6.9,2948.0,,,"$175,791","female protagonist,beach,hospital,amnesiac,paper boat","Awards, 15 wins & 26 nominations"
A Second Chance,Susanne Bier,female,Teodora Film,tt3305316,5.6/10,A Second Chance,2015-01-15,Susanne Bier,"Nikolaj Coster-Waldau, Nikolaj Lie Kaas, Ulrich Thomsen","Denmark, Sweden","Danish, Swedish",TV-MA,6.8,6353.0,35.0,"DKK 35,000,000 (estimated)","$12,468,099","f rated,social issue,kidnapping,eastern europe,male nudity","Awards, 2 wins & 5 nominations"
Beauty and the Bestie,Wenn V. Deramas,male,Star Cinema,tt4842270,,Beauty and the Bestie,2019-02-26,Wenn V. Deramas,"Vice Ganda, Coco Martin, James Reid",Philippines,"Filipino, Tagalog, Japanese, Korean",TV-14,4.6,301.0,,,"$32,245","beauty pageant,aunt nephew relationship,sister sister relationship,half brothers,kidnapping","Awards, 5 nominations"
Can't Help Falling in Love,Mae Czarina Cruz-Alviar,female,Star Cinema,tt6725484,,Can't Help Falling in Love,2017-04-15,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli",Philippines,"Tagalog, Filipino",,6.9,924.0,,,"$242,563",marriage,"Awards, 2 nominations"
Evening Shadows,Sridhar Rangayan,male,Netflix,tt6028796,,Evening Shadows,2019-01-11,Sridhar Rangayan,"Mona Ambegaonkar, Anant Mahadevan, Devansh Doshi",India,Hindi,,7.1,552.0,,,,"gay rights,gay youth,p. f. l. a. g.,coming out,lgbt","Awards, 24 wins & 1 nomination"
Four Sisters and a Wedding,Cathy Garcia-Molina,female,Star Cinema,tt3008034,,Four Sisters and a Wedding,2013-06-26,Cathy Garcia-Molina,"Brenna Garcia, Bea Alonzo, Bea Basa",Philippines,"Filipino, Tagalog",Not Rated,7.2,837.0,,,"$3,351,356","sibling,brother,wedding,sister sister relationship","Awards, 27 nominations"
It Takes a Man and a Woman,Cathy Garcia-Molina,female,Star Cinema,tt2816740,,It Takes a Man and a Woman,2013-04-23,Cathy Garcia-Molina,"John Lloyd Cruz, Sarah Geronimo, Isabelle Daza",Philippines,"Filipino, Tagalog",TV-PG,6.8,364.0,,,"$9,141,744",,"Awards, 4 wins & 10 nominations"
She's Dating the Gangster,Cathy Garcia-Molina,female,Star Cinema,tt3772640,,She's Dating the Gangster,2014-07-25,Cathy Garcia-Molina,"Daniel Padilla, Kathryn Bernardo, Richard Gomez",Philippines,"Tagalog, Filipino",TV-PG,7.0,1111.0,,,"$5,837,612","gangster,book,tragedy","Awards, 1 win & 12 nominations"
The Breakup Playlist,Dan Villegas,male,Star Cinema,tt4628812,,The Breakup Playlist,2015-07-01,Dan Villegas,"Piolo Pascual, Sarah Geronimo, Rio Locsin",Philippines,"Filipino, English",,6.5,309.0,,,"$3,255,057","song,singer,rock singer,rock,songwriter","Awards, 7 nominations"
The Mistress,Vilgot Sjöman,male,Star Cinema,tt2389344,,The Mistress,2012-09-12,Olivia M. Lamasan,"John Lloyd Cruz, Bea Alonzo, Hilda Koronel",Philippines,"Tagalog, Filipino",Not Rated,6.4,363.0,,,"$6,362,114","mistress,client,f rated,heart attack,melodrama","Awards, 6 wins & 38 nominations"
Zach Galifianakis: Live at the Purple Onion,,,Netflix,tt0804558,,Zach Galifianakis: Live at the Purple Onion,,Michael Blieden,"Zach Galifianakis, Joe Wagner, Brian Unger",USA,English,Unrated,7.2,3991.0,,,,"stand up special,tv special,surrealism,stand up comedian,performer name in title",
Firebrand,Aruna Raje,female,,,,,,,,,,,,,,,,,
Paddleton,Alexandre Lehmann,male,Netflix,tt8041276,7.2/10,Paddleton,2019-02-22,Alex Lehmann,"Christine Woods, Mark Duplass, Ray Romano",USA,English,TV-MA,7.1,13912.0,70.0,,,"friendship,friend,male male friendship,hot tub,assisted suicide","Awards, 3 nominations"
Paris Is Us,Élisabeth Vogler,female,Netflix,tt7920024,6.8/10,Paris Is Us,2019-02-22,Elisabeth Vogler,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet",France,French,,4.6,1436.0,,,,"title directed by female,youth,conflict,couple,charlie hebdo","Awards, 2 nominations"
Shonar Pahar,Parambrata Chatterjee,male,GreenTouch Entertainment,tt8347882,,Shonar Pahar,,Parambrata Chattopadhyay,"Tanuja Samarth, Jisshu Sengupta, Parambrata Chattopadhyay",India,Bengali,,8.1,719.0,,,,journey,"Awards, 1 win & 3 nominations"
The Drug King,Woo Min-ho,male,"SHOWBOX Co., Ltd.",tt6914542,83%,The Drug King,2018-12-19,Min-ho Woo,"Song Kang-ho, Jo Jung-Suk, Bae Doona",South Korea,"Korean, Japanese",Not Rated,6.2,3200.0,,,"$14,446,477","drug,timeframe 1970s,drug crime","Awards, 3 nominations"
Transformer,Tau Ulv Lenskjold,male,,tt0497843,,,,,,,,,,,,,,,
Genius,Viktor Sergeev,male,MTI Home Video,tt0369451,,,,,,,,,,,,,,,
Black Sea,Kevin Macdonald,male,Focus Features,tt2261331,6.5/10,Black Sea,2015-01-23,Kevin Macdonald,"Jude Law, Scoot McNairy, Ben Mendelsohn","UK, Russia, USA","English, Russian",R,6.4,38116.0,62.0,"£8,000,000 (estimated)","$4,070,789","submarine,sea,gold,black sea,drive shaft",
Awe,Prasanth Varma,male,Wall Poster Cinema,tt7797658,100,Awe!,2018-02-02,Prasanth Varma,"Kajal Aggarwal, Nithya Menen, Srinivas Avasarala",India,Telugu,,7.7,5184.0,,,"$47,386",restaurant,"Awards, 1 win"
Ayana,,,,,,,,,,,,,,,,,,,
Buddies,Marcelo Galvão,male,Hoyts,tt0085278,,,,,,,,,,,,,,,
Chameli,Anant Balani,male,Pritish Nandy Communications,tt0383975,,,,,,,,,,,,,,,
Fatso,Anne Bancroft,female,Paradox,tt1145446,,,,,,,,,,,,,,,
Neevevaro,,,"Kona Film Corporation, MVV Cinema, Mango Music",tt8484586,,Neevevaro,2018-08-23,"Hari, Hari Nath","Taapsee Pannu, Harsha Chemudu, Aadhi",India,Telugu,,6.8,856.0,,,,love,
Pyaar Ke Side Effects,Saket Chaudhary,male,Pritish Nandy Communications (PNC),tt0480572,,Pyaar Ke Side Effects,2006-09-15,Saket Chaudhary,"Rahul Bose, Mallika Sherawat, Ranvir Shorey",India,"Hindi, Bengali, English",,6.8,3140.0,,"₹45,000,000 (estimated)","$60,714","cricket the sport,delhi,kiss,jogging,brassiere","Awards, 4 nominations"
The Breaker Upperers,Madeleine Sami,female,Netflix,tt6728096,7.1/10,The Breaker Upperers,2019-02-15,"Madeleine Sami, Jackie van Beek","Madeleine Sami, Jackie van Beek, James Rolleston",New Zealand,English,,5.9,6198.0,76.0,,"$2,767,411","breakup,dating,new zealand,friendship,pregnant","Awards, 1 nomination"
Ugly Aur Pagli,Sachin Kamlakar Khot,,"Percept Picture Company, Pritish Nandy Communications (PNC)",tt1132606,,Ugly Aur Pagli,2008-08-01,Sachin Kamlakar Khot,"Mallika Sherawat, Ranvir Shorey, Bharti Achrekar",India,Hindi,,3.8,746.0,,,"$2,062,682","flatulence,bollywood",
Yucatán,Daniel Monzón,male,Netflix,tt6502956,6.3/10,Yucatán,2018-08-31,Daniel Monzón,"Luis Tosar, Rodrigo de la Serna, Joan Pera",Spain,"Spanish, Polish",TV-MA,5.5,2164.0,,,"$5,922,726","onboard,cruise ship,cruising,cruise liner,leisure and travel","Awards, 2 nominations"
High Flying Bird,Steven Soderbergh,male,Netflix,tt8128188,7.3/10,High Flying Bird,2019-02-08,Steven Soderbergh,"André Holland, Melvin Gregg, Eddie Tavares",USA,English,TV-MA,6.2,8672.0,78.0,"$2,000,000 (estimated)",,"basketball sport,basketball,director also editor,lesbian character,steam bath","Awards, 7 nominations"
ReMastered: The Two Killings of Sam Cooke,Kelly Duane,female,Netflix,tt9046564,100%,ReMastered: The Two Killings of Sam Cooke,2019-02-08,Kelly Duane,"Sam Cooke, Quincy Jones, Smokey Robinson",USA,English,TV-MA,7.2,2303.0,,,,"crime documentary,musician,music documentary","Awards, 1 nomination"
The Tree of Blood,Julio Médem,male,Movistar Plus+,tt6433832,5.5/10,The Tree of Blood,2019-02-08,Julio Medem,"Álvaro Cervantes, Úrsula Corberó, Patricia López Arnaiz",Spain,Spanish,TV-MA,6.3,3033.0,,,"$315,750","spanish civil war,evacuation of children,basque,reference to basque conflict,russian mafia","Awards, 1 nomination"
Await Further Instructions,,,,tt4971408,,,,,,,,,,,,,,,
Manusangada,Amshan Kumar,male,A K Films,tt7475710,,Manusangada,2018-10-12,Amshan Kumar,"Rajeev Anand, Manimegalai, Sheela Rajkumar",India,Tamil,,7.9,150.0,,,,fight,"Awards, 1 nomination"
Dear Ex,Mag Hsu,female,Warner Bros.,tt8443704,6.5/10,Dear Ex,2018-11-02,"Chih-Yen Hsu, Mag Hsu","Roy Chiu, Ying-Hsuan Hsieh, Spark Chen",Taiwan,Mandarin,TV-MA,7.3,6389.0,,,,"love,mother son relationship,loss of loved one,loss of father,love triangle","Awards, 12 wins & 18 nominations"
Velvet Buzzsaw,Dan Gilroy,male,Netflix,tt7043012,6.1/10,Velvet Buzzsaw,2019-02-01,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton","USA, Canada","English, Chinese, Italian",R,5.7,61069.0,61.0,,,"male nudity,male rear nudity,artist,satire,gay man has sex with a woman","Awards, 1 win & 3 nominations"
Hantu Kak Limah,Mamat Khalid,male,Infinitus Production,tt8757960,,Hantu Kak Limah,2018-08-09,Mamat Khalid,"Awie, Delimawati, Zul Ariffin",Malaysia,Malay,,5.6,683.0,,,,,"Awards, 3 nominations"
Virsa,Pankaj Batra,male,"B4U Television Network, Geo Films, One World Entertainment Productions",tt1636842,,Virsa,2010-05-07,Pankaj Batra,"Arya Babbar, Aman Dhaliwal, Andrew Duvall","India, Pakistan",Punjabi,,5.6,121.0,,,,elderly,
Bhasmasur,,,,tt0390914,,,,,,,,,,,,,,,
High Society,Julie Lopes-Curval,female,Lotte Entertainment,tt8865580,,High Society,2018-08-29,Hyuk Byun,"Park Hae-il, Soo Ae, Kim Gyu-Sun",South Korea,Korean,,5.5,1040.0,,,,"horny woman,husband and wife cheating on each other,husband cheating on wife,politics,cheating husband",
Alt-Right: Age of Rage,Adam Bhala Lough,male,Alldayeveryday,tt7980006,88,Alt-Right: Age of Rage,2018-03-09,Adam Bhala Lough,"Daryle Lamont Jenkins, Richard Spencer, Mark Potok",,English,,6.0,1081.0,67.0,,,"obese man,alt right,anti semitism,white supremacy,hate","Awards, 4 nominations"
Habibie & Ainun,Faozan Rizal,male,MD Pictures,tt2589132,,Habibie & Ainun,2012-12-20,Faozan Rizal,"Reza Rahadian, Bunga Citra Lestari, Tio Pakusadewo","Indonesia, Singapore","Indonesian, German",TV-14,7.6,2133.0,,"SGD 100,000 (estimated)","$7,562","project,love,friendship,president,public","Awards, 7 wins & 8 nominations"
Nathicharami,,,Tejaswini Enterprises,tt9084890,,Nathicharami,2018-12-28,Mansore,"Sruthi Hariharan, Sanchari Vijay, Sharanya",India,Kannada,,7.2,331.0,,,,independent film,"Awards, 4 wins & 1 nomination"
Rudy Habibie,Hanung Bramantyo,male,"MD Entertainment, MD Pictures",tt5874502,,Rudy Habibie,2016-06-30,Hanung Bramantyo,"Reza Rahadian, Chelsea Islan, Ernest Prakasa",Indonesia,"Indonesian, German, Dutch, English",TV-14,7.5,843.0,,,,"friendship,friend,exploration,journey,student","Awards, 15 nominations"
Surga Yang Tak Dirindukan,Kuntz Agus,male,MD Pictures,tt5104080,,The Heaven None Missed,2015-07-15,Kuntz Agus,"Fedi Nuril, Laudya Cynthia Bella, Raline Shah",Indonesia,Indonesian,TV-14,7.4,2320.0,,,,"marriage,heaven,love,life,wife","Awards, 4 nominations"
Surga Yang Tak Dirindukan 2,Hanung Bramantyo,male,"MD Entertainment, MD Pictures",tt5946936,,The Heaven None Missed 2,2017-02-09,"Hanung Bramantyo, Meisa Felaroze","Laudya Cynthia Bella, Fedi Nuril, Raline Shah",Indonesia,Indonesian,TV-14,6.8,451.0,,,,"sequel,heaven,second part,two numbers in title,love","Awards, 1 nomination"
Goyo: The Boy General,Jerrold Tarog,male,Netflix,tt8443480,,Goyo: Ang Batang Heneral,2018-09-05,Jerrold Tarog,"Paulo Avelino, Carlo Aquino, Arron Villaflor",Philippines,"Filipino, Tagalog, English, Spanish",TV-14,6.5,848.0,,,,"emilio aguinaldo character,general,battle,tragedy,american","Awards, 6 wins & 21 nominations"
Patria,Theodore Wharton,male,Pathé Exchange,tt0008411,,,,,,,,,,,,,,,
Soni,,,Netflix,tt6078866,88%,Soni,2019-01-18,Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla",India,Hindi,TV-MA,7.1,2799.0,68.0,"$450,000 (estimated)",,,"Awards, 7 wins & 10 nominations"
Echcharikkai,,,,,,,,,,,,,,,,,,,
Pandigai,,,Tea Time Talks Production,tt7087944,,Pandigai,2017-07-14,Feroz,"Kreshna, Anandhi, Saravanan",India,Tamil,,6.3,287.0,,,,hotel,
Pari,Dariush Mehrjui,male,,tt0114092,,,,,,,,,,,,,,,
Revenger,Lee Seung-won,male,Netflix,tt9426186,4.5/10,Revenger,2019-01-15,Seung-Won Lee,"Je-Heon Choi, Makayla Rose Hilli, Kim In-kwon",South Korea,"Korean, English",Not Rated,5.7,4363.0,,,,"revenge,martial arts",
The Doll,Ernst Lubitsch,male,Universum Film AG,tt0010600,,,,,,,,,,,,,,,
The Doll 2,,,Netflix,tt6409782,,The Doll 2,2017-07-20,Rocky Soraya,"Herjunot Ali, Luna Maya, Sara Wijayanto",Indonesia,Indonesian,TV-MA,5.2,573.0,,,,"mother,sequel,evil doll,second part,number 2 in title","Awards, 2 nominations"
Baazaar,Gauravv K. Chawla,male,Netflix,tt6514196,3.9/10,Baazaar,2018-10-26,"Gauravv K. Chawla, Samuel Wilde","Radhika Apte, Saif Ali Khan, Chitrangda Singh","India, Canada","Hindi, French",Not Rated,6.5,5643.0,,,"$5,170,477",business,"Awards, 2 nominations"
All of You,Dan Villegas,male,"Quantum Films, MJM Productions, Globe Studios",tt7736536,,All of You,2017-12-25,Dan Villegas,"Derek Ramsay, Jennylyn Mercado, Rafael Rosell",Philippines,"Filipino, Tagalog",TV-14,5.6,182.0,,,,dating,"Awards, 3 wins & 8 nominations"
Solo,Laura Morante,female,Netflix,tt6699860,75%,Solo,2019-01-11,Hugo Stuven,"Alain Hernández, Aura Garrido, Ben Temple",Spain,Spanish,TV-MA,5.0,2830.0,,"€2,900,000 (estimated)","$8,668","reef,wave,sunrise,dusk,sunset","Awards, 1 win"
The Last Laugh,Ferne Pearlstein,female,,tt2102508,7.5/10,,,,,,,,,,,,,,
Komola Rocket,Noor Imran Mithu,male,Impress Telefilm Limited,tt8506874,,Komola Rocket,2018-06-16,Noor Imran Mithu,"Tauquir Ahmed, Mosharraf Karim, Joyraaj",Bangladesh,Bengali,,7.4,1054.0,,,,affair,
Nang Nak,Nonzee Nimibutr,male,Netflix,tt0217680,,Nang Nak,1999-07-23,Nonzee Nimibutr,"Inthira Charoenpura, Winai Kraibutr, Manit Meekaewjaroen",Thailand,Thai,,6.5,1782.0,,,,"thai horror,secret,husband wife relationship,chiang toong war,bangkok thailand","Awards, 14 wins & 1 nomination"
And Breathe Normally,Ísold Uggadóttir,female,Netflix,tt6776106,93%,And Breathe Normally,2019-01-04,Isold Uggadottir,"Kristín Þóra Haraldsdóttir, Babetida Sadjo, Patrik Nökkvi Pétursson","Iceland, Sweden, Belgium","Icelandic, English",TV-14,6.9,3101.0,77.0,,"$96,922","asylum seeker,lesbian,lgbtq,refugee,iceland","Awards, 8 wins & 22 nominations"
