id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt0026177,Captured in Chinatown,Elmer Clifton,male,,,Captured in Chinatown,1935-07-01,Elmer Clifton,"Tarzan, Marion Shilling, Charles Delaney",USA,English,Approved,5.2,80.0,,,"female reporter,female journalist,male police officer,police,police officer",,1935.0
tt0045605,Captain Scarlett,Thomas Carr,male,United Artists Corporation,,Captain Scarlett,1953-09-12,Thomas Carr,"Richard Greene, Leonora Amar, Nedrick Young",USA,English,Approved,4.6,342.0,,,"character name as title,captain,adventurer,pilgrim,settler",,1953.0
tt0027420,Captain Calamity,John Reinhardt,male,Grand National Films Inc.,,Captain Calamity,1936-11-29,John Reinhardt,"George Houston, Marian Nixon, Vince Barnett",USA,English,Passed,4.3,146.0,,,"fundraising,tree,marine life,waterfront,trader",,1936.0
tt0062776,Candy,Christian Marquand,male,Cinerama Releasing Corporation,6/10,,,,,,,,,,,,,,
tt0031129,Cafe Society,Raymond De Felitta,male,Paramount Pictures,,,,,,,,,,,,,,,
tt5457484,Cabin 28,Andrew Jones,male,,,Cabin 28,2017-08-01,Andrew Jones,"Derek Nelson, Lee Bane, Brendee Green",UK,English,Not Rated,3.2,1159.0,"$250,000 (estimated)",,"murder,serial killer,home invasion,masked killer,gang of psychopaths",,2017.0
,C U Soon,Mahesh Narayan,male,Amazon Prime Video,,,,,,,,,,,,,,,
tt0019735,Bulldog Drummond,F. Richard Jones,male,United Artists Corporation,,Bulldog Drummond,1929-05-02,F. Richard Jones,"Ronald Colman, Claud Allister, Lawrence Grant",USA,English,Passed,6.3,1080.0,"$550,000 (estimated)",,"1920s,bulldog drummond character,character name as title,male male relationship,male female relationship","Nominated for 2 Oscars, 1 win & 2 nominations total",1929.0
tt0035700,Buckskin Frontier,Lesley Selander,male,United Artists Corporation,,Buckskin Frontier,1943-05-14,Lesley Selander,"Richard Dix, Jane Wyatt, Albert Dekker",USA,English,Approved,6.1,197.0,,,"deception,freight wagon,saloon girl,construction worker,retribution",,1943.0
tt0023849,Broken Dreams,Robert G. Vignola,male,Monogram Pictures,,,,,,,,,,,,,,,
tt8103160,Britt-Marie Was Here,Tuva Novotny,female,Cirko Film,6.4/10,Britt-Marie Was Here,2019-09-20,Tuva Novotny,"Pernilla August, Peter Haber, Anders Mossling",Sweden,"Swedish, German",PG,5.4,1910.0,,"$221,575","reference to liverpool fc,reference to manchester united,female soccer coach,car accident,deadly car accident","Awards, 1 nomination",2019.0
